file_name,functionVerified,function_name,function_line,error
 Utilities/cmexpat/lib/xmltok.c, XmlInitUnknownEncoding, memcpy , 264 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, XmlUtf16Encode, XmlUtf16Encode , 1310 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, XmlUtf8Encode, XmlUtf8Encode , 1294 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, _INTERNAL_trim_to_complete_utf8_characters, _INTERNAL_trim_to_complete_utf8_characters , 333 ,Same object violation
 Utilities/cmexpat/lib/xmltok.c, ascii_toUtf8, ascii_toUtf8 , 566 ,Same object violation
 Utilities/cmexpat/lib/xmltok.c, getEncodingIndex, streqci , 1017 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, initScan, initScan , 1544 ,Same object violation
 Utilities/cmexpat/lib/xmltok.c, initUpdatePosition, normal_updatePosition , 293 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, latin1_toUtf16, latin1_toUtf16 , 531 ,Same object violation
 Utilities/cmexpat/lib/xmltok.c, latin1_toUtf8, latin1_toUtf8 , 522 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, parsePseudoAttribute, parsePseudoAttribute , 1079 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, toAscii, toAscii , 276 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, unknown_isInvalid, unknown_isInvalid , 1353 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, unknown_isName, unknown_isName , 1335 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, unknown_isNmstrt, unknown_isNmstrt , 1344 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, unknown_toUtf16, unknown_toUtf16 , 1391 ,Same object violation
 Utilities/cmexpat/lib/xmltok.c, utf8_isInvalid2, utf8_isInvalid2 , 173 ,dereference failure: invalid pointer
 Utilities/cmexpat/lib/xmltok.c, utf8_isInvalid3, utf8_isInvalid3 , 179 ,dereference failure: invalid pointer
