file_name,functionVerified,function_name,function_line,error
 database/sqlite/sqlite3.c, absFunc, sqlite3VdbeMemSetInt64 , 77868 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, addAggInfoColumn, sqlite3DbRealloc , 28441 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, addToSavepointBitvecs, sqlite3BitvecSet , 49579 ,division by zero
 database/sqlite/sqlite3.c, addToVTrans, sqlite3VtabLock , 143336 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, agginfoFree, agginfoFree , 138186 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, allocSpace, allocSpace , 81186 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, allocateTempSpace, mallocWithAlarm , 14863 ,dereference failure: NULL pointer
 database/sqlite/sqlite3.c, alsoAnInt, alsoAnInt , 86739 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, analysisLoader, sqlite3FindTable , 112812 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, analyzeFilterKeyword, sqlite3GetToken , 163394 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, apiHandleError, sqlite3VdbeMemSetNull , 77828 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, appendText, strlen , 78 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, applyNumericAffinity, applyNumericAffinity , 86759 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, areDoubleQuotedStringsEnabled, areDoubleQuotedStringsEnabled , 99385 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, attachBackupObject, sqlite3BtreePager , 75278 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, autoIncBegin, autoIncBegin , 123431 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, backupTruncateFile, sqlite3OsTruncate , 23526 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, binCollFunc, memcmp , 310 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, binaryCompareP5, sqlite3AffinityType , 113917 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, binaryToUnaryIfNull, binaryToUnaryIfNull , 158195 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeGetHasContent, sqlite3BitvecTestNotNull , 49538 ,division by zero
 database/sqlite/sqlite3.c, btreeGetPage, sqlite3PagerGet , 58307 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeHeapInsert, btreeHeapInsert , 75478 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeHeapPull, btreeHeapPull , 75488 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeInvokeBusyHandler, sqlite3InvokeBusyHandler , 166799 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreePageFromDbPage, sqlite3PagerGetExtra , 59862 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreePagecount, btreePagecount , 67627 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeParseCell, btreeParseCell , 66761 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeParseCellAdjustSizeForOverflow, btreeParseCellAdjustSizeForOverflow , 66591 ,division by zero
 database/sqlite/sqlite3.c, btreeParseCellPtrNoPayload, sqlite3GetVarint , 32690 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreePayloadToLocal, btreePayloadToLocal , 66615 ,division by zero
 database/sqlite/sqlite3.c, btreeReleaseAllCursorPages, sqlite3PagerUnrefNotNull , 58347 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, btreeSetNPage, btreeSetNPage , 69679 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, cachedCellSize, cachedCellSize , 72436 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, callFinaliser, callFinaliser , 144077 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, cellSizePtr, cellSizePtr , 66813 ,division by zero
 database/sqlite/sqlite3.c, checkColumnOverlap, sqlite3StrICmp , 31990 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, checkConstraintExprNode, checkConstraintExprNode , 124436 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, clearYMD_HMS_TZ, clearYMD_HMS_TZ , 22652 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, codeApplyAffinity, codeApplyAffinity , 145415 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, codeDeferredSeek, codeDeferredSeek , 146154 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, codeReturningTrigger, codeReturningTrigger , 140588 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, codeRowTrigger, sqlite3DbMallocRawNN , 28387 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, codeTableLocks, codeTableLocks , 112521 ,dereference failure: invalid pointer
 database/sqlite/sqlite3.c, columnTypeImpl, columnTypeImpl , 133940 ,dereference failure: invalid pointer
