file_name,functionVerified,function_name,function_line,error
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF16toUTF32, ConvertUTF16toUTF32 , 117 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF16toUTF8, ConvertUTF16toUTF8 , 220 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF32toUTF16, ConvertUTF32toUTF16 , 67 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF32toUTF8, ConvertUTF32toUTF8 , 415 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF8toUTF16, ConvertUTF8toUTF16 , 342 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, ConvertUTF8toUTF32, ConvertUTF8toUTF32 , 468 ,Same object violation
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, isLegalUTF8, isLegalUTF8 , 302 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/ConvertUTF/ConvertUTF.c, isLegalUTF8Sequence, isLegalUTF8Sequence , 328 ,Same object violation
 external/assimp-3.0.1270/contrib/zlib/adler32.c, adler32, adler32 , 18 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/zutil.c, zError, zError , 136 ,array bounds violated: array `z_errmsg' lower bound
 external/assimp-3.0.1270/contrib/zlib/zutil.c, zcfree, zcfree , 314 ,dereference failure: invalid pointer freed
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate, deflate_fast , 1546 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateBound, deflateBound , 505 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateCopy, memcpy , 264 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateEnd, deflateEnd , 271 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateInit2_, deflateInit2_ , 236 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflatePrime, deflatePrime , 407 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateReset, lm_init , 1031 ,array bounds violated: array `configuration_table' lower bound
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateSetDictionary, deflateSetDictionary , 327 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateSetHeader, deflateSetHeader , 395 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflateTune, deflateTune , 462 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate_fast, deflate_fast , 1533 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate_huff, deflate_huff , 1815 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate_rle, deflate_rle , 1770 ,Same object violation
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate_slow, longest_match , 1175 ,Same object violation
 external/assimp-3.0.1270/contrib/zlib/deflate.c, deflate_stored, deflate_stored , 1472 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, fill_window, fill_window , 1311 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, flush_pending, flush_pending , 565 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, longest_match, longest_match , 1199 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/deflate.c, putShortMSB, putShortMSB , 553 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, _tr_flush_block, _tr_stored_block , 877 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, _tr_init, _tr_init , 391 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, _tr_stored_block, copy_block , 1242 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, _tr_tally, _tr_tally , 1044 ,array bounds violated: array `_length_code' upper bound
 external/assimp-3.0.1270/contrib/zlib/trees.c, bi_flush, bi_flush , 1194 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, bi_windup, bi_windup , 1209 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, build_bl_tree, gen_bitlen , 503 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, build_tree, build_tree , 638 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, compress_block, compress_block , 1087 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, detect_data_type, detect_data_type , 1149 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, gen_bitlen, gen_bitlen , 511 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, gen_codes, gen_codes , 595 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, init_block, init_block , 421 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, pqdownheap, pqdownheap , 464 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, scan_tree, scan_tree , 732 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/trees.c, send_all_trees, send_tree , 777 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, fixedtables, fixedtables , 277 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflate, inflate , 234 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateGetHeader, inflateGetHeader , 1307 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateInit2_, inflateInit2_ , 192 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateMark, inflateMark , 1477 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflatePrime, inflatePrime , 219 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateReset, inflateReset , 110 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateSetDictionary, inflateSetDictionary , 1263 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateSyncPoint, inflateSyncPoint , 1403 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, inflateUndermine, inflateUndermine , 1461 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, syncsearch, syncsearch , 1333 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inflate.c, updatewindow, updatewindow , 365 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/crc32.c, crc32, crc32_little , 275 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/crc32.c, crc32_big, crc32_big , 298 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/crc32.c, crc32_little, crc32_little , 258 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/crc32.c, gf2_matrix_square, gf2_matrix_square , 368 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/crc32.c, gf2_matrix_times, gf2_matrix_times , 353 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/inffast.c, inflate_fast, inflate_fast , 107 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/zlib/compress.c, compress, compress2 , 39 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/ioapi.c, fclose_file_func, fclose , 50 ,dereference failure: invalid pointer freed
 external/assimp-3.0.1270/contrib/unzip/ioapi.c, fill_fopen_filefunc, fill_fopen_filefunc , 173 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/ioapi.c, fread_file_func, fread , 77 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, strcmpcasenosensitive_internal, strcmpcasenosensitive_internal , 267 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzClose, unzClose , 66 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzCloseCurrentFile, unzCloseCurrentFile , 80 ,dereference failure: invalid pointer freed
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGetCurrentFileInfo, unzlocal_GetCurrentFileInfoInternal , 65 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGetFilePos, unzGetFilePos , 917 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGetGlobalInfo, unzGetGlobalInfo , 539 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGetLocalExtrafield, unzGetLocalExtrafield , 62 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGetOffset, unzGetOffset , 1578 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGoToFilePos, unzGoToFilePos , 938 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGoToFirstFile, unzGoToFirstFile , 781 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzGoToNextFile, unzGoToNextFile , 804 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzLocateFile, unzLocateFile , 853 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzOpenCurrentFile, unzOpenCurrentFile3 , 1077 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzReadCurrentFile, unzReadCurrentFile , 1249 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzSetOffset, unzSetOffset , 1597 ,dereference failure: invalid pointer
 external/assimp-3.0.1270/contrib/unzip/unzip.c, unzStringFileNameCompare, strcmp , 92 ,dereference failure: invalid pointer
