file_name,functionVerified,function_name,function_line,error
 loginrec.c, line_abbrevname, strncmp , 108 ,dereference failure: invalid pointer
 loginrec.c, login_alloc_entry, login_init_entry , 392 ,dereference failure: invalid pointer
 loginrec.c, login_free_entry, login_free_entry , 359 ,dereference failure: invalid pointer freed
 loginrec.c, login_get_lastlog, strlen , 78 ,dereference failure: invalid pointer
 loginrec.c, login_login, login_login , 238 ,dereference failure: invalid pointer
 loginrec.c, login_logout, login_logout , 255 ,dereference failure: invalid pointer
 loginrec.c, login_set_addr, memcpy , 264 ,dereference failure: invalid pointer
 loginrec.c, login_set_current_time, login_set_current_time , 415 ,dereference failure: invalid pointer
 sshconnect2.c, authmethod_get, strcmp , 92 ,dereference failure: invalid pointer
 sshconnect2.c, authmethod_is_enabled, authmethod_is_enabled , 2249 ,dereference failure: invalid pointer
 sshconnect2.c, first_alg, strchr , 127 ,dereference failure: invalid pointer
 sshconnect2.c, format_identity, format_identity , 679 ,dereference failure: invalid pointer
 sshconnect2.c, identity_sign, identity_sign , 1242 ,dereference failure: invalid pointer
 sshconnect2.c, input_userauth_failure, input_userauth_failure , 642 ,dereference failure: invalid pointer
 sshconnect2.c, input_userauth_pk_ok, input_userauth_pk_ok , 703 ,dereference failure: invalid pointer
 sshconnect2.c, input_userauth_service_accept, userauth_none , 1052 ,dereference failure: invalid pointer
 sshconnect2.c, input_userauth_success, input_userauth_success , 613 ,dereference failure: invalid pointer
 sshconnect2.c, key_sig_algorithm, key_sig_algorithm , 1191 ,dereference failure: invalid pointer
 sshconnect2.c, key_type_allowed_by_config, key_type_allowed_by_config , 1614 ,dereference failure: invalid pointer
 sshconnect2.c, load_identity_file, load_identity_file , 1541 ,dereference failure: invalid pointer
 sshconnect2.c, order_hostkeyalgs, first_alg , 113 ,dereference failure: NULL pointer
 sshconnect2.c, pubkey_cleanup, pubkey_cleanup , 602 ,dereference failure: invalid pointer
 sshconnect2.c, pubkey_prepare, pubkey_prepare , 575 ,dereference failure: invalid pointer
 sshconnect2.c, pubkey_reset, pubkey_reset , 532 ,dereference failure: invalid pointer
