file_name,functionVerified,function_name,function_line,error
 src/re.c, matchcharclass, matchrange , 313 ,dereference failure: invalid pointer
 src/re.c, matchmetachar, matchmetachar , 339 ,dereference failure: invalid pointer
 src/re.c, matchpattern, matchpattern , 499 ,dereference failure: invalid pointer
 src/re.c, matchplus, matchplus , 427 ,dereference failure: invalid pointer
 src/re.c, matchstar, matchstar , 406 ,dereference failure: invalid pointer
 src/re.c, re_compile, re_compile , 209 ,dereference failure: invalid pointer
 src/re.c, re_match, re_matchp , 84 ,dereference failure: invalid pointer
 src/re.c, re_print, re_print , 269 ,array bounds violated: array `types' upper bound
 src/ext2fs/rbtree.c, __rb_erase_color, __rb_erase_color , 141 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, __rb_rotate_left, __rb_rotate_left , 30 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, __rb_rotate_right, __rb_rotate_right , 53 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_augment_erase_begin, ext2fs_rb_augment_erase_begin , 324 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_augment_erase_end, ext2fs_rb_augment_path , 288 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_first, ext2fs_rb_first , 360 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_insert_color, ext2fs_rb_insert_color , 144 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_last, ext2fs_rb_last , 372 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_next, ext2fs_rb_next , 391 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_prev, ext2fs_rb_prev , 419 ,dereference failure: invalid pointer
 src/ext2fs/rbtree.c, ext2fs_rb_replace_node, ext2fs_rb_replace_node , 452 ,dereference failure: invalid pointer
 src/ext2fs/hashmap.c, ext2fs_djb2_hash, ext2fs_djb2_hash , 27 ,dereference failure: invalid pointer
 src/ext2fs/hashmap.c, ext2fs_hashmap_add, ext2fs_hashmap_add , 51 ,division by zero
 src/ext2fs/hashmap.c, ext2fs_hashmap_free, ext2fs_hashmap_free , 99 ,dereference failure: invalid pointer
 src/ext2fs/hashmap.c, ext2fs_hashmap_iter_in_order, ext2fs_hashmap_iter_in_order , 86 ,dereference failure: invalid pointer
 src/ext2fs/hashmap.c, ext2fs_hashmap_lookup, ext2fs_hashmap_lookup , 75 ,division by zero
 src/syslinux/libinstaller/setadv.c, adv_consistent, get_32 , 65 ,dereference failure: invalid pointer
 src/syslinux/libinstaller/setadv.c, cleanup_adv, set_32 , 104 ,dereference failure: invalid pointer
 src/syslinux/libinstaller/setadv.c, syslinux_setadv, syslinux_setadv , 38 ,dereference failure: invalid pointer
 src/syslinux/libinstaller/syslxmod.c, generate_extents, generate_extents , 50 ,dereference failure: invalid pointer
 src/syslinux/libinstaller/syslxmod.c, ptr, get_16 , 54 ,dereference failure: invalid pointer
 src/syslinux/libinstaller/fs.c, check_fat_bootsect, get_8 , 47 ,dereference failure: invalid pointer
