file_name,functionVerified,function_name,function_line,error
 src/network/rootbind.c, rootwrap_bind, rootwrap_bind , 38 ,dereference failure: invalid pointer
 modules/video_output/xcb/keysym.c, main, parse , 96 ,dereference failure: invalid pointer
 modules/video_output/xcb/keysym.c, cmpkey, cmpkey , 43 ,dereference failure: invalid pointer
 modules/video_output/xcb/keysym.c, printkey, printkey , 58 ,dereference failure: invalid pointer
 modules/misc/webservices/json.c, json_alloc, json_alloc , 82 ,dereference failure: invalid pointer
 modules/misc/webservices/json.c, json_value_free, json_value_free , 835 ,dereference failure: invalid pointer
 modules/misc/webservices/json.c, new_value, new_value , 103 ,dereference failure: invalid pointer
 modules/visualization/visual/fft.c, fft_calculate, fft_calculate , 178 ,dereference failure: invalid pointer
 modules/visualization/visual/fft.c, fft_close, fft_close , 104 ,dereference failure: invalid pointer freed
 modules/visualization/visual/fft.c, fft_output, fft_output , 147 ,dereference failure: invalid pointer
 modules/visualization/visual/fft.c, fft_perform, fft_prepare , 123 ,dereference failure: invalid pointer
 modules/visualization/visual/fft.c, fft_prepare, fft_prepare , 124 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_append_hdr, strlen , 78 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode, hpack_decode_int , 112 ,assertion length >= 1
 modules/access/http/hpack.c, hpack_decode_byte_huffman, hpack_decode_byte_huffman , 219 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_destroy, hpack_decode_destroy , 87 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_hdr_index, hpack_decode_int , 108 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_hdr_indexed, hpack_decode_int , 101 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_hdr_noindex, hpack_decode_byte_huffman , 229 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_str, hpack_decode_str , 15 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_decode_str_raw, memcpy , 264 ,dereference failure: invalid pointer
 modules/access/http/hpack.c, hpack_lookup_value, hpack_lookup_value , 369 ,dereference failure: invalid pointer
 bin/rootwrap.c, main, main , 256 ,dereference failure: array bounds violated
 bin/rootwrap.c, rootprocess, rootprocess , 177 ,dereference failure: invalid pointer
 compat/strcasestr.c, strcasestr, strcasestr , 47 ,dereference failure: invalid pointer
 compat/strtoll.c, strtoll, strtoll , 41 ,dereference failure: invalid pointer
 compat/sincos.c, sincos, sincos , 29 ,dereference failure: invalid pointer
 compat/sincos.c, sincosf, sincosf , 35 ,dereference failure: invalid pointer
 compat/timegm.c, timegm, timegm , 46 ,dereference failure: invalid pointer
 compat/strsep.c, strsep, strpbrk , 197 ,dereference failure: invalid pointer
 compat/memrchr.c, memrchr, memrchr , 36 ,dereference failure: invalid pointer
 compat/gmtime_r.c, gmtime_r, gmtime_r , 89 ,dereference failure: array bounds violated
 compat/strtok_r.c, strtok_r, strtok_r , 44 ,dereference failure: invalid pointer
 compat/nrand48.c, erand48, iterate48 , 33 ,dereference failure: invalid pointer
 compat/getdelim.c, getdelim, getdelim , 32 ,dereference failure: invalid pointer
 compat/getdelim.c, getline, getdelim , 31 ,dereference failure: invalid pointer
 compat/strnlen.c, strnlen, memchr , 319 ,dereference failure: invalid pointer
 compat/strverscmp.c, strverscmp, strverscmp , 76 ,dereference failure: invalid pointer
 compat/swab.c, swab, swab , 39 ,dereference failure: invalid pointer
