file_name,functionVerified,function_name,function_line,error
 tools/make_charset_table.c, main, main , 28 ,dereference failure: array bounds violated

	######################### LOG #########################
	Counterexample:
	
	State 3 file make_charset_table.c line 28 function main thread 0
	----------------------------------------------------
	Violated property:
	file make_charset_table.c line 28 function main
	dereference failure: array bounds violated

	######################### CODE #########################

	if (argc != 2) {
		printf("usage: %s <charset>\n", argv[0]);
		return 1;
	}

	######################### OBS #########################
	ESBMC does not check argc and argv
   
 tools/npl/npl.c, main, main , 1934 ,dereference failure: array bounds violated

	######################### LOG #########################
	
	Counterexample:
	
	State 3 file npl.c line 1934 function main thread 0
	----------------------------------------------------
	Violated property:
	file npl.c line 1934 function main
	dereference failure: array bounds violated

	######################### CODE #########################

	if (argc < 2) {
		fprintf(stderr, "usage: %s filename\n", argv[0]);
		return 1;
	}

	######################### OBS #########################
	ESBMC does not check argc and argv

 tools/npl/npl.c, check_code, parse_includes , 1748 ,dereference failure: invalid pointer
	######################### LOG #########################
	
	Counterexample:
	
	State 1 file npl.c line 1748 function parse_includes thread 0
	----------------------------------------------------
	Violated property:
	file npl.c line 1748 function parse_includes
	dereference failure: invalid pointer

	######################### CODE #########################

	parse_includes(npl_code_t *c)
	{
		/* FIX
		if(!c)
			return;
		*/
		struct _npl_decl_list *decl;

	######################### OBS #########################
	Needs to check the *c

 tools/npl/npl.c, count_expression_list, count_expression_list , 322 ,dereference failure: invalid pointer
 tools/npl/npl.c, decl_const, symbol_hash , 119 ,dereference failure: invalid pointer
 tools/npl/npl.c, ett_var, ett_var , 190 ,dereference failure: invalid pointer
 tools/npl/npl.c, expr_to_const_int, expr_to_const_int , 357 ,dereference failure: invalid pointer
 tools/npl/npl.c, expr_to_symbol, expr_to_symbol , 332 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_expr, gen_expr , 739 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_expr_field, gen_expr_field , 88 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_expr_table, gen_expr_table , 551 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_field_proto, gen_field_proto , 1087 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_field_size, gen_field_size , 1107 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_protocol, gen_protocol , 1489 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_statement_field, gen_statement_field , 1257 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_statements, resolve_attr_list , 671 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_struct, gen_struct , 1564 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_table, gen_table , 1023 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_table_func, gen_table_func , 955 ,dereference failure: invalid pointer
 tools/npl/npl.c, gen_table_struct, gen_table_struct , 880 ,dereference failure: invalid pointer
 tools/npl/npl.c, get_protocol, get_protocol , 1849 ,dereference failure: invalid pointer
 tools/npl/npl.c, hfi_filter, hfi_filter , 275 ,dereference failure: invalid pointer
 tools/npl/npl.c, hfi_name, hfi_name , 264 ,dereference failure: invalid pointer
 tools/npl/npl.c, hfi_type, hfi_type , 295 ,dereference failure: invalid pointer
 tools/npl/npl.c, merge_code, merge_code , 1862 ,dereference failure: invalid pointer
 tools/npl/npl.c, resolve_attr_expr, resolve_attr_expr , 644 ,dereference failure: invalid pointer
 tools/npl/npl.c, symbols_pop, symbols_pop , 109 ,dereference failure: NULL pointer
 tools/npl/npl.c, type_to_ctype, type_to_ctype , 407 ,dereference failure: invalid pointer
 tools/npl/npl.c, type_to_ft, type_to_ft , 501 ,dereference failure: invalid pointer
 tools/npl/npl.c, type_to_tvb, type_to_tvb , 456 ,dereference failure: invalid pointer
 tools/npl/npl.c, walk_decl, decl_table , 1012 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, main, OptInit , 2113 ,dereference failure: array bounds violated
 tools/lemon/lemon.c, CompressTables, CompressTables , 5004 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, ConfigPrint, RulePrint , 3306 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Configcmp, Configcmp , 5590 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Configlist_add, Configlist_add , 112 ,assertion currentend!=0
 tools/lemon/lemon.c, FindFirstSets, FindFirstSets , 846 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, FindFollowSets, FindFollowSets , 1137 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, FindLinks, FindLinks , 1091 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, FindRulePrecedences, FindRulePrecedences , 814 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Plink_copy, Plink_copy , 3157 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Plink_delete, Plink_delete , 3169 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, PrintAction, RulePrint , 3303 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, ReportHeader, ReportHeader , 4961 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, ReportOutput, file_open , 3226 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Reprint, rule_print , 3246 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, ResortStates, ResortStates , 5141 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Rule_merge, Rule_merge , 1580 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, SetFree, SetFree , 5199 ,dereference failure: invalid pointer freed
 tools/lemon/lemon.c, Strsafe, strlen , 78 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, Symbolcmpp, Symbolcmpp , 5429 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, actioncmp, actioncmp , 518 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, acttab_action, acttab_action , 639 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, acttab_action_size, acttab_action_size , 791 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, acttab_free, acttab_free , 615 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, axset_compare, axset_compare , 4263 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, buildshifts, buildshifts , 1039 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, compute_action, compute_action , 3591 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, confighash, confighash , 5767 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, deleteconfig, deleteconfig , 1330 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, emit_code, emit_code , 4057 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, emit_destructor_code, emit_destructor_code , 3749 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, errline, errline , 1944 ,dereference failure: NULL pointer
 tools/lemon/lemon.c, eval_preprocessor_boolean, eval_preprocessor_boolean , 2805 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, file_makename, file_makename , 3188 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, handle_D_option, handle_D_option , 1544 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, handleswitch, handleswitch , 2028 ,dereference failure: NULL pointer
 tools/lemon/lemon.c, has_destructor, has_destructor , 3786 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, lemon_addtext, lemon_addtext , 87 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, lemon_strcat, lemon_strcpy , 155 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, merge, merge , 1866 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, minimum_size_type, minimum_size_type , 4239 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, print_stack_union, print_stack_union , 4113 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, rule_print, rule_print , 3249 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, same_symbol, same_symbol , 1020 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, stateResortCompare, stateResortCompare , 5119 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, statecmp, statecmp , 5600 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, statehash, statehash , 5615 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, strhash, strhash , 5243 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, tplt_linedir, tplt_linedir , 3703 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, tplt_print, tplt_print , 3717 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, tplt_skip_header, tplt_skip_header , 3638 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, tplt_xfer, tplt_xfer , 3614 ,dereference failure: invalid pointer
 tools/lemon/lemon.c, writeRuleText, writeRuleText , 4285 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_alloc_token, jsmn_alloc_token , 31 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_fill_token, jsmn_fill_token , 48 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_init, jsmn_init , 329 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_parse, jsmn_parse , 178 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_parse_primitive, jsmn_parse_primitive , 62 ,dereference failure: invalid pointer
 wsutil/jsmn.c, jsmn_parse_string, jsmn_parse_string , 110 ,dereference failure: invalid pointer
